"obs";"Flower.before.shaking";"Visual.intensity";"Nuance";"Surface.feeling"
"2EL ";0,347256833094257;0,147918269238197;0,117063358686786;0,0708909356847296
"1CHA";0,347256833094257;-0,299324719854998;-0,312339354400116;-0,29749078646442
"1FON";-0,151048936368354;-0,171541008685513;-0,143584088156963;-0,144064993291672
"1VAU";-0,224237596258175;-0,433212748437037;-0,404231535000713;-0,513245808113596
"1DAM";0,151048936368354;0,177218992818461;0,132521856357915;0,163585685726598
"2BOU";-0,0264724940027011;0,206112761904555;0,228278661376294;0,181165724527642
"1BOI";0,0903179207150988;0,0754803692758782;0,0865757660576163;0,0557081749020097
"3EL ";0,222680390728605;0,104374138361972;0,0556587707153595;-0,0825348574880182
"DOM1";-0,208665540962469;0,0323431928938231;0,0711172683864878;0,0796809550852513
"1TUR";-0,328570366739409;-0,103172653664897;-0,137572450173747;-0,0553657066136773
"4EL ";-0,203993924373757;-0,0409086160568366;-0,0362334098852378;0,0629000089569821
"PER1";-0,0295869050618428;0,307851385447138;0,331764715230237;0,112443754669015
"2DAM";0,270953762145295;0,107629774315335;0,147550951315956;0,225115821530252
"1POY";0,0981039483629519;0,307851385447138;0,347223212901366;0,198745763328686
"1ING";0,199322307785045;0,0461796456956143;0,0711172683864878;0,225115821530252
"1BEN";-0,0887607151855276;-0,0278860722433861;-0,128125590485835;-0,0297947410848863
"2BEA";0,270953762145295;-0,0698023851429303;-0,0516919075563661;0,141211090888906
"1ROC";-0,0887607151855276;-0,113346516019156;-0,143584088156963;0,00936079988107561
"2ING";-0,261610528967871;-0,549601733769752;-0,511582213272438;-0,588360519354421
"T1  ";-0,359714477330823;0,147918269238197;0,117063358686786;0,122032866742312
"T2  ";-0,0264724940027011;0,147918269238197;0,163009448987085;0,0629000089569821
